time,template
0.468994,-5.958800e-20
0.469238,-5.845438e-20
0.469482,-5.695059e-20
0.469727,-5.508970e-20
0.469971,-5.287854e-20
0.470215,-5.033432e-20
0.470459,-4.747045e-20
0.470703,-4.430820e-20
0.470947,-4.086379e-20
0.471191,-3.715769e-20
0.471436,-3.321502e-20
0.471680,-2.906216e-20
0.471924,-2.472709e-20
0.472168,-2.022867e-20
0.472412,-1.560104e-20
0.472656,-1.087620e-20
0.472900,-6.074900e-21
0.473145,-1.239415e-21
0.473389,3.611667e-21
0.473633,8.439268e-21
0.473877,1.321646e-20
0.474121,1.791376e-20
0.474365,2.249682e-20
0.474609,2.693752e-20
0.474854,3.121415e-20
0.475098,3.529189e-20
0.475342,3.914789e-20
0.475586,4.275531e-20
0.475830,4.609252e-20
0.476074,4.914026e-20
0.476318,5.187428e-20
0.476562,5.427976e-20
0.476807,5.634020e-20
0.477051,5.804267e-20
0.477295,5.937623e-20
0.477539,6.033230e-20
0.477783,6.090294e-20
0.478027,6.108530e-20
0.478271,6.087759e-20
0.478516,6.028097e-20
0.478760,5.929936e-20
0.479004,5.793674e-20
0.479248,5.620356e-20
0.479492,5.411122e-20
0.479736,5.167091e-20
0.479980,4.889813e-20
0.480225,4.581143e-20
0.480469,4.242712e-20
0.480713,3.877255e-20
0.480957,3.486473e-20
0.481201,3.073287e-20
0.481445,2.640355e-20
0.481689,2.190195e-20
0.481934,1.725676e-20
0.482178,1.249582e-20
0.482422,7.655059e-21
0.482666,2.765663e-21
0.482910,-2.148405e-21
0.483154,-7.049948e-21
0.483398,-1.190465e-20
0.483643,-1.669217e-20
0.483887,-2.136623e-20
0.484131,-2.590999e-20
0.484375,-3.028780e-20
0.484619,-3.447294e-20
0.484863,-3.843443e-20
0.485107,-4.215252e-20
0.485352,-4.559987e-20
0.485596,-4.875282e-20
0.485840,-5.159263e-20
0.486084,-5.409916e-20
0.486328,-5.625781e-20
0.486572,-5.805358e-20
0.486816,-5.947342e-20
0.487061,-6.050942e-20
0.487305,-6.115370e-20
0.487549,-6.140152e-20
0.487793,-6.125119e-20
0.488037,-6.070370e-20
0.488281,-5.976183e-20
0.488525,-5.843094e-20
0.488770,-5.672038e-20
0.489014,-5.463963e-20
0.489258,-5.220249e-20
0.489502,-4.942510e-20
0.489746,-4.632481e-20
0.489990,-4.292221e-20
0.490234,-3.923790e-20
0.490479,-3.529783e-20
0.490723,-3.112200e-20
0.490967,-2.674622e-20
0.491211,-2.218892e-20
0.491455,-1.748729e-20
0.491699,-1.267119e-20
0.491943,-7.764616e-21
0.492188,-2.807804e-21
0.492432,2.167764e-21
0.492676,7.132392e-21
0.492920,1.205543e-20
0.493164,1.689816e-20
0.493408,2.163522e-20
0.493652,2.623357e-20
0.493896,3.065958e-20
0.494141,3.488599e-20
0.494385,3.888943e-20
0.494629,4.263799e-20
0.494873,4.610717e-20
0.495117,4.927540e-20
0.495361,5.212315e-20
0.495605,5.462825e-20
0.495850,5.677677e-20
